Timestamp,FPS_Vehicle,FPS_Cargo,FPS_Driver,Lat_Vehicle_ms,Lat_Cargo_ms,Lat_Driver_ms,CPU_Percent,RAM_Percent,RAM_Used_MB,SoC_Temp_C
2026-04-08 13:27:44,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.5,4308.0,49.9
2026-04-08 13:27:50,0.0,0.0,0.0,0.0,0.0,0.0,26.9,56.6,4310.9,49.8
2026-04-08 13:27:55,0.0,0.0,0.0,0.0,0.0,0.0,66.1,56.8,4326.1,50.1
2026-04-08 13:28:00,0.0,0.0,0.0,0.0,0.0,0.0,58.2,63.9,4871.5,49.9
2026-04-08 13:28:06,0.0,0.0,0.0,0.0,0.0,0.0,52.8,59.1,4500.2,50.0
2026-04-08 13:28:11,0.0,0.0,0.0,0.0,0.0,0.0,56.2,59.1,4502.2,49.9
2026-04-08 13:28:16,0.0,0.0,0.0,0.0,0.0,0.0,46.6,59.2,4509.6,50.5
2026-04-08 13:28:22,0.0,0.0,0.0,0.0,0.0,0.0,62.4,59.2,4512.1,49.9
2026-04-08 13:28:27,0.0,0.0,0.0,0.0,0.0,0.0,35.9,59.6,4543.4,50.0
2026-04-08 13:28:32,0.0,0.0,0.0,0.0,0.0,0.0,56.0,59.4,4528.6,50.2
2026-04-08 13:30:44,0.0,0.0,0.0,0.0,0.0,0.0,28.2,58.5,4458.9,48.3
2026-04-08 13:30:50,0.0,0.0,0.0,0.0,0.0,0.0,52.6,59.0,4497.5,48.2
2026-04-08 13:30:55,0.0,0.0,0.0,0.0,0.0,0.0,53.4,51.8,3944.8,48.1
2026-04-08 13:31:00,0.0,0.0,0.0,0.0,0.0,0.0,20.8,51.7,3942.9,48.1
2026-04-08 13:31:06,0.0,0.0,0.0,0.0,0.0,0.0,22.7,51.6,3931.9,48.0
2026-04-08 13:31:11,0.0,0.0,0.0,0.0,0.0,0.0,50.0,58.9,4491.7,48.5
2026-04-08 13:31:16,0.0,0.0,0.0,0.0,0.0,0.0,55.4,58.8,4481.0,48.9
2026-04-08 13:31:21,0.0,0.0,0.0,0.0,0.0,0.0,56.4,58.9,4489.0,48.8
2026-04-08 13:31:27,0.0,0.0,0.0,0.0,0.0,0.0,65.4,58.8,4483.2,48.8
2026-04-08 13:31:32,0.0,0.0,0.0,0.0,0.0,0.0,56.7,58.8,4476.7,49.2
2026-04-08 13:31:37,0.0,0.0,0.0,0.0,0.0,0.0,59.0,58.7,4473.1,49.0
2026-04-08 13:31:43,0.0,0.0,0.0,0.0,0.0,0.0,54.2,59.4,4527.8,49.2
2026-04-08 13:31:48,0.0,0.0,0.0,0.0,0.0,0.0,48.6,59.4,4523.1,49.3
2026-04-08 13:31:53,0.0,0.0,0.0,0.0,0.0,0.0,55.7,59.3,4522.0,49.2
2026-04-08 13:31:59,0.0,0.0,0.0,0.0,0.0,0.0,52.2,59.0,4498.3,49.3
2026-04-08 13:32:04,0.0,0.0,0.0,0.0,0.0,0.0,52.7,59.0,4496.9,49.4
2026-04-08 13:32:09,0.0,0.0,0.0,0.0,0.0,0.0,59.6,59.1,4503.5,49.7
2026-04-08 13:32:15,0.0,0.0,0.0,0.0,0.0,0.0,53.4,59.6,4540.8,50.2
2026-04-08 13:32:20,0.0,0.0,0.0,0.0,0.0,0.0,51.4,59.6,4543.0,49.6
2026-04-08 13:32:25,0.0,0.0,0.0,0.0,0.0,0.0,76.9,59.1,4500.5,49.4
2026-04-08 13:32:30,0.0,0.0,0.0,0.0,0.0,0.0,41.4,59.1,4499.8,49.7
2026-04-08 13:32:36,0.0,0.0,0.0,0.0,0.0,0.0,27.3,59.2,4514.7,49.5
2026-04-08 13:32:41,0.0,0.0,0.0,0.0,0.0,0.0,45.2,58.9,4487.6,49.5
2026-04-08 13:32:46,0.0,0.0,0.0,0.0,0.0,0.0,90.3,58.8,4481.9,49.3
